Day,india coronavirus: (India)
01-01-2020,0
02-01-2020,0
03-01-2020,0
04-01-2020,0
05-01-2020,0
06-01-2020,0
07-01-2020,0
08-01-2020,0
09-01-2020,0
10-01-2020,0
11-01-2020,<1
12-01-2020,0
13-01-2020,0
14-01-2020,0
15-01-2020,0
16-01-2020,<1
17-01-2020,<1
18-01-2020,<1
19-01-2020,<1
20-01-2020,<1
21-01-2020,<1
22-01-2020,<1
23-01-2020,<1
24-01-2020,1
25-01-2020,1
26-01-2020,1
27-01-2020,3
28-01-2020,6
29-01-2020,5
30-01-2020,8
31-01-2020,7
01-02-2020,5
02-02-2020,4
03-02-2020,4
04-02-2020,4
05-02-2020,3
06-02-2020,3
07-02-2020,3
08-02-2020,2
09-02-2020,2
10-02-2020,2
11-02-2020,1
12-02-2020,2
13-02-2020,2
14-02-2020,2
15-02-2020,1
16-02-2020,1
17-02-2020,1
18-02-2020,1
19-02-2020,1
20-02-2020,1
21-02-2020,1
22-02-2020,1
23-02-2020,1
24-02-2020,1
25-02-2020,1
26-02-2020,1
27-02-2020,1
28-02-2020,2
29-02-2020,2
01-03-2020,2
02-03-2020,7
03-03-2020,14
04-03-2020,23
05-03-2020,20
06-03-2020,15
07-03-2020,12
08-03-2020,12
09-03-2020,14
10-03-2020,17
11-03-2020,21
12-03-2020,24
13-03-2020,30
14-03-2020,29
15-03-2020,35
16-03-2020,42
17-03-2020,46
18-03-2020,48
19-03-2020,58
20-03-2020,68
21-03-2020,80
22-03-2020,83
23-03-2020,100
24-03-2020,99
25-03-2020,91
26-03-2020,83
27-03-2020,90
28-03-2020,88
29-03-2020,84
30-03-2020,70
31-03-2020,69
01-04-2020,65
02-04-2020,62
03-04-2020,57
04-04-2020,56
05-04-2020,55
06-04-2020,51
07-04-2020,48
08-04-2020,46
09-04-2020,43
10-04-2020,43
11-04-2020,43
12-04-2020,40
13-04-2020,41
14-04-2020,35
15-04-2020,36
16-04-2020,37
17-04-2020,34
18-04-2020,34
19-04-2020,34
20-04-2020,28
21-04-2020,27
22-04-2020,27
23-04-2020,28
24-04-2020,28
25-04-2020,26
26-04-2020,26
27-04-2020,25
28-04-2020,22
29-04-2020,21
30-04-2020,21
01-05-2020,23
02-05-2020,20
03-05-2020,24
04-05-2020,21
05-05-2020,23
06-05-2020,23
07-05-2020,22
08-05-2020,21
09-05-2020,21
10-05-2020,22
11-05-2020,22
12-05-2020,20
13-05-2020,18
14-05-2020,18
15-05-2020,19
16-05-2020,20
17-05-2020,22
18-05-2020,18
19-05-2020,18
20-05-2020,16
21-05-2020,16
22-05-2020,16
23-05-2020,16
24-05-2020,16
25-05-2020,16
26-05-2020,15
27-05-2020,15
28-05-2020,15
29-05-2020,15
30-05-2020,16
31-05-2020,15
01-06-2020,14
02-06-2020,14
03-06-2020,13
04-06-2020,13
05-06-2020,13
06-06-2020,14
07-06-2020,15
08-06-2020,14
09-06-2020,13
10-06-2020,14
11-06-2020,14
12-06-2020,13
13-06-2020,13
14-06-2020,12
15-06-2020,11
16-06-2020,12
